TransactionID,Date,BranchCode,TellerID,CustomerID,TransactionType,Amount,Currency
CA00028484,2025-04-04,BR009,TLR-8809,C501387,cash deposit,485.3,CAD
CA00031492,2025-04-13,BR025,TLR-3633,C503138,cash deposit,2626.71,CAD
CA00033091,2025-04-25,BR033,TLR-1991,C503564,cash withdrawal,411.23,CAD
CA00030774,2025-04-27,BR020,TLR-1003,C502997,cash withdrawal,113.32,USD
CA00030747,2025-04-17,BR020,TLR-4175,C502544,cash deposit,1034.91,USD
CA00029266,2025-04-19,BR014,TLR-1469,C501065,cash deposit,1197.2,CAD
CA00027163,2025-04-07,BR003,TLR-2344,C502944,cash deposit,1049.18,CAD
CA00030587,2025-04-13,BR019,TLR-3698,C503977,cash deposit,1124.98,CAD
CA00032853,2025-04-24,BR031,TLR-5013,C500486,cash withdrawal,545.76,CAD
CA00029017,2025-04-03,BR012,TLR-2271,C500383,cash deposit,903.36,CAD
CA00034470,2025-04-19,BR039,TLR-7044,C503539,cash withdrawal,327.1,CAD
CA00027766,2025-04-15,BR006,TLR-1961,C502300,cash deposit,1040.41,CAD
CA00033591,2025-04-03,BR036,TLR-3918,C503639,cash deposit,388.2,CAD
CA00027901,2025-04-07,BR006,TLR-4261,C502965,cash deposit,818.3,CAD
CA00034076,2025-04-03,BR037,TLR-6269,C503918,cash deposit,651.5,CAD
CA00029064,2025-04-04,BR012,TLR-8420,C501378,cash deposit,1166.3,CAD
CA00034174,2025-04-23,BR038,TLR-9125,C503229,cash deposit,895.73,CAD
CA00031265,2025-04-18,BR024,TLR-6157,C501067,cash withdrawal,865.68,CAD
CA00031302,2025-04-07,BR024,TLR-2144,C503393,cash withdrawal,634.8,CAD
CA00028803,2025-04-20,BR011,TLR-7612,C503067,cash deposit,2559.42,CAD
CA00028120,2025-04-17,BR007,TLR-5148,C503463,cash withdrawal,1195.26,CAD
CA00030351,2025-04-11,BR019,TLR-4273,C500091,cash deposit,1483.06,CAD
CA00030433,2025-04-02,BR019,TLR-7769,C502028,cash withdrawal,406.39,CAD
CA00030920,2025-04-03,BR021,TLR-6022,C500920,cash deposit,1988.79,CAD
CA00028377,2025-04-01,BR008,TLR-7740,C503814,cash deposit,1414.77,CAD
CA00034277,2025-04-14,BR038,TLR-7722,C500941,cash deposit,809.03,CAD
CA00033480,2025-04-27,BR035,TLR-4782,C500609,cash withdrawal,646.99,CAD
CA00034365,2025-04-26,BR039,TLR-8479,C503563,cash withdrawal,514.92,CAD
CA00032631,2025-04-05,BR031,TLR-9911,C502073,cash withdrawal,5357.14,CAD
CA00035276,2025-04-26,BR040,TLR-4456,C503141,cash deposit,381.53,CAD
CA00028033,2025-04-13,BR007,TLR-7040,C502468,cash withdrawal,1077.21,CAD
CA00030935,2025-04-20,BR021,TLR-7471,C502332,cash deposit,1839.89,CAD
CA00027684,2025-04-20,BR005,TLR-6679,C501925,cash deposit,2652.53,CAD
CA00030208,2025-04-26,BR018,TLR-1768,C501912,cash deposit,660.28,CAD
CA00030083,2025-04-03,BR017,TLR-6828,C500926,cash deposit,363.28,CAD
CA00028090,2025-04-07,BR007,TLR-6065,C503547,cash deposit,1299.26,CAD
CA00032660,2025-04-01,BR031,TLR-7391,C500627,cash deposit,563.4,CAD
CA00033532,2025-04-09,BR035,TLR-9041,C503373,cash deposit,1472.13,CAD
CA00035006,2025-04-17,BR040,TLR-6536,C502657,cash deposit,1170.07,CAD
CA00029968,2025-04-17,BR017,TLR-4405,C502611,cash withdrawal,450.57,CAD
CA00028379,2025-04-04,BR008,TLR-6466,C501984,cash withdrawal,1227.58,CAD
CA00027250,2025-04-16,BR003,TLR-5809,C501557,cash deposit,856.86,CAD
CA00034611,2025-04-22,BR040,TLR-2540,C500522,cash deposit,2468.37,CAD
CA00026967,2025-04-30,BR002,TLR-1445,C503617,cash withdrawal,-2361.56,CAD
CA00026716,2025-04-10,BR001,TLR-8325,C500477,cash withdrawal,941.28,CAD
CA00029264,2025-04-17,BR014,TLR-2494,C503198,cash deposit,1696.95,CAD
CA00031826,2025-04-10,BR026,TLR-6094,C500770,cash deposit,412.25,CAD
CA00031316,2025-04-22,BR024,TLR-5668,C500185,cash deposit,945.49,CAD
CA00027016,2025-04-28,BR002,TLR-8253,C501184,cash deposit,1090.73,CAD
CA00028916,2025-04-05,BR012,TLR-2167,C501523,cash deposit,1141.29,CAD
CA00031641,2025-04-04,BR026,TLR-7715,C500131,cash deposit,1400.03,CAD
CA00028101,2025-04-08,BR007,TLR-1146,C500777,cash deposit,2328.18,CAD
CA00032144,2025-04-15,BR028,TLR-9856,C501730,cash withdrawal,230.02,CAD
CA00030033,2025-04-18,BR017,TLR-4306,C503681,cash deposit,2797.18,CAD
CA00033177,2025-04-20,BR033,TLR-7302,C502021,cash withdrawal,248.86,CAD
CA00031557,2025-04-10,BR025,TLR-1971,C502854,cash deposit,899.13,CAD
CA00027898,2025-04-21,BR006,TLR-1629,C500699,cash deposit,913.47,CAD
CA00026842,2025-04-12,BR001,TLR-5701,C500155,cash withdrawal,909.88,CAD
CA00030267,2025-04-14,BR019,TLR-3546,C502350,cash withdrawal,1200.97,CAD
CA00033980,2025-04-28,BR037,TLR-2194,C501171,cash deposit,614.71,CAD
CA00027344,2025-04-23,BR003,TLR-6798,C503416,cash withdrawal,1255.79,CAD
CA00029463,2025-04-05,BR015,TLR-1857,C503097,cash deposit,806.83,CAD
CA00030057,2025-04-26,BR017,TLR-9902,C500781,cash deposit,1848.2,CAD
