TransactionID,Date,BranchCode,TellerID,CustomerID,TransactionType,Amount,Currency
CA00020594,2025-03-27,BR015,TLR-4196,C500213,cash withdrawal,929.7,CAD
CA00023809,2025-03-30,BR031,TLR-5694,C500045,cash deposit,1145.53,CAD
CA00023009,2025-03-01,BR027,TLR-2867,C501760,cash deposit,649.4,CAD
CA00021071,2025-03-16,BR017,TLR-4776,C502773,cash deposit,1594.02,CAD
CA00018227,2025-03-11,BR002,TLR-8391,C502985,cash deposit,445.45,CAD
CA00017910,2025-03-05,BR001,TLR-5146,C502402,cash withdrawal,633.69,CAD
CA00018901,2025-03-08,BR006,TLR-1467,C503916,cash withdrawal,2722.77,CAD
CA00020176,2025-03-04,BR012,TLR-3101,C501529,cash deposit,2750.35,CAD
CA00025500,2025-03-23,BR039,TLR-2691,C501100,cash deposit,1136.58,CAD
CA00022440,2025-03-29,BR024,TLR-3116,C500493,cash withdrawal,2244.65,CAD
CA00022046,2025-03-03,BR023,TLR-7956,C503951,cash deposit,387.47,CAD
CA00023866,2025-03-29,BR031,TLR-7377,C502974,cash withdrawal,560.58,CAD
CA00021892,2025-03-17,BR021,TLR-3720,C502915,cash deposit,1124.9,CAD
CA00025490,2025-03-07,BR039,TLR-9625,C502301,cash deposit,1294.36,CAD
CA00022560,2025-03-27,BR025,TLR-6695,C503171,cash deposit,1455.5,CAD
CA00025112,2025-03-08,BR037,TLR-9658,C500250,cash withdrawal,3548.09,CAD
CA00023153,2025-03-13,BR028,TLR-1453,C502225,cash withdrawal,378.31,CAD
CA00025111,2025-03-07,BR037,TLR-6269,C502562,cash deposit,615.99,CAD
CA00025273,2025-03-31,BR038,TLR-3815,C502576,cash withdrawal,464.89,CAD
CA00024752,2025-03-07,BR036,TLR-4611,C500501,cash withdrawal,1835.8,CAD
CA00026172,2025-03-23,BR040,TLR-4653,C501698,cash withdrawal,839.82,CAD
CA00026349,2025-03-03,BR040,TLR-7517,C501831,cash withdrawal,2018.01,CAD
CA00021910,2025-03-10,BR021,TLR-8858,C501005,cash withdrawal,1259.95,CAD
CA00022237,2025-03-05,BR024,TLR-8440,C502680,cash deposit,1585.17,CAD
CA00022540,2025-03-19,BR025,TLR-6160,C500085,cash withdrawal,-1423.97,CAD
CA00021109,2025-03-27,BR017,TLR-9846,C503593,cash withdrawal,296.72,CAD
CA00024107,2025-03-02,BR033,TLR-5626,C503557,cash deposit,797.06,CAD
CA00017841,2025-03-05,BR001,TLR-3673,C500690,cash deposit,1927.88,CAD
CA00023079,2025-03-20,BR027,TLR-3075,C502644,cash deposit,1420.47,CAD
CA00020746,2025-03-23,BR015,TLR-3302,C501935,cash deposit,626.43,CAD
CA00022819,2025-03-29,BR026,TLR-7420,C501628,cash withdrawal,-1345.19,CAD
CA00022609,2025-03-13,BR025,TLR-7136,C503931,cash withdrawal,-751.42,CAD
CA00024092,2025-03-27,BR033,TLR-3658,C503700,cash withdrawal,542.79,CAD
CA00017844,2025-03-24,BR001,TLR-9963,C503641,cash withdrawal,491.98,CAD
CA00024774,2025-03-18,BR036,TLR-5736,C502394,cash withdrawal,1575.1,CAD
CA00018182,2025-03-02,BR002,TLR-2246,C502762,cash deposit,907.65,CAD
CA00025207,2025-03-14,BR037,TLR-8605,C500313,cash withdrawal,1921.15,CAD
CA00024330,2025-03-28,BR034,TLR-8543,C502489,cash deposit,1584.48,CAD
CA00017843,2025-03-14,BR001,TLR-6087,C501772,cash withdrawal,469.24,CAD
CA00020306,2025-03-04,BR014,TLR-3460,C502327,cash withdrawal,371.75,CAD
CA00024104,2025-03-20,BR033,TLR-9503,C500488,cash withdrawal,437.09,CAD
CA00021098,2025-03-10,BR017,TLR-7542,C501181,cash deposit,435.98,CAD
