TransactionID,Date,BranchCode,TellerID,CustomerID,TransactionType,Amount,Currency
CA00038253,2025-05-04,BR015,TLR-8574,C500777,cash withdrawal,1792.14,CAD
CA00043727,2025-05-21,BR040,TLR-8111,C503290,cash withdrawal,710.43,CAD
CA00037909,2025-05-31,BR013,TLR-2353,C502772,cash deposit,814.13,CAD
CA00035561,2025-05-19,BR001,TLR-4465,C503792,cash withdrawal,517.72,CAD
CA00041868,2025-05-28,BR032,TLR-4477,C500680,cash deposit,492.88,CAD
CA00039839,2025-05-20,BR022,TLR-3075,C502745,cash withdrawal,1864.08,CAD
CA00039645,2025-05-09,BR021,TLR-3127,C500952,cash deposit,574.03,CAD
CA00040212,2025-05-28,BR024,TLR-6768,C503512,cash withdrawal,1206.56,CAD
CA00036894,2025-05-03,BR007,TLR-7712,C503816,cash withdrawal,2173.99,CAD
CA00040972,2025-05-02,BR028,TLR-8613,C500467,cash withdrawal,593.37,CAD
CA00040024,2025-05-20,BR024,TLR-2037,C503617,cash withdrawal,1904.2,CAD
CA00038805,2025-05-08,BR017,TLR-6126,C500596,cash withdrawal,704.55,CAD
CA00038780,2025-05-09,BR017,TLR-2829,C500164,cash deposit,421.63,CAD
CA00039459,2025-05-01,BR020,TLR-7111,C501547,cash deposit,570.44,USD
CA00042957,2025-05-23,BR037,TLR-5998,C501760,cash deposit,2607.47,CAD
CA00036133,2025-05-18,BR003,TLR-9895,C500267,cash deposit,1260.93,CAD
CA00037663,2025-05-12,BR011,TLR-6868,C502462,cash deposit,1567.59,CAD
CA00039110,2025-05-22,BR019,TLR-1454,C503257,cash withdrawal,329.07,CAD
CA00041622,2025-05-15,BR031,TLR-7793,C500197,cash deposit,573.86,CAD
CA00039383,2025-05-20,BR019,TLR-1074,C501934,cash withdrawal,912.79,CAD
CA00044156,2025-05-24,BR040,TLR-9866,C501416,cash deposit,1208.23,CAD
CA00041473,2025-05-07,BR030,TLR-8418,C503967,cash withdrawal,536.97,CAD
CA00040448,2025-05-26,BR025,TLR-8027,C500250,cash withdrawal,-1331.88,CAD
CA00040739,2025-05-30,BR027,TLR-4569,C501700,cash deposit,481.32,CAD
CA00040187,2025-05-08,BR024,TLR-4206,C502771,cash withdrawal,2018.18,CAD
CA00043650,2025-05-08,BR040,TLR-5983,C502022,cash withdrawal,2021.73,CAD
CA00039810,2025-05-12,BR021,TLR-3024,C500585,cash deposit,820.22,CAD
CA00042064,2025-05-25,BR034,TLR-8090,C503366,cash withdrawal,424.97,CAD
CA00039034,2025-05-22,BR018,TLR-7135,C500705,cash deposit,3163.94,CAD
CA00042683,2025-05-31,BR036,TLR-8376,C501488,cash deposit,926.84,CAD
CA00037955,2025-05-08,BR013,TLR-9887,C500216,cash withdrawal,219.38,CAD
CA00036856,2025-05-28,BR007,TLR-2510,C502969,cash deposit,2340.14,CAD
CA00041223,2025-05-27,BR030,TLR-8955,C502810,cash withdrawal,1305.05,CAD
CA00035617,2025-05-13,BR001,TLR-7282,C503026,cash deposit,2019.69,CAD
CA00038831,2025-05-12,BR017,TLR-5670,C503979,cash withdrawal,889.63,CAD
CA00035609,2025-05-31,BR001,TLR-9374,C502963,cash deposit,1197.98,CAD
CA00042056,2025-05-10,BR034,TLR-2060,C503798,cash deposit,381.35,CAD
CA00039520,2025-05-25,BR020,TLR-6088,C503055,cash deposit,504.01,USD
CA00042926,2025-05-26,BR037,TLR-1501,C500110,cash withdrawal,315.65,CAD
CA00042081,2025-05-31,BR034,TLR-5490,C501354,cash deposit,649.67,CAD
CA00043124,2025-05-03,BR038,TLR-2893,C503007,cash withdrawal,736.22,CAD
CA00044234,2025-05-13,BR040,TLR-4601,C501012,cash withdrawal,952.27,CAD
CA00041279,2025-05-23,BR030,TLR-5991,C501703,cash withdrawal,387.11,CAD
CA00041955,2025-05-01,BR033,TLR-5321,C502851,cash withdrawal,807.27,CAD
CA00044119,2025-05-05,BR040,TLR-4817,C503395,cash deposit,1620.27,CAD
CA00043308,2025-05-04,BR039,TLR-2601,C501048,cash deposit,384.9,CAD
CA00039503,2025-05-04,BR020,TLR-2895,C503928,cash withdrawal,724.55,USD
CA00041803,2025-05-26,BR032,TLR-3809,C500210,cash withdrawal,933.53,CAD
CA00035548,2025-05-23,BR001,TLR-6187,C501918,cash deposit,514.97,CAD
CA00040298,2025-05-23,BR025,TLR-6151,C500626,cash withdrawal,-2277.18,CAD
CA00040866,2025-05-17,BR027,TLR-4955,C503817,cash deposit,965.45,CAD
CA00036022,2025-05-07,BR003,TLR-7055,C502195,cash withdrawal,894.94,CAD
CA00036916,2025-05-31,BR007,TLR-5580,C501617,cash deposit,912.01,CAD
CA00038443,2025-05-10,BR015,TLR-1177,C501517,cash deposit,729.71,CAD
CA00040925,2025-05-06,BR028,TLR-9641,C500752,cash withdrawal,554.0,CAD
CA00039835,2025-05-03,BR022,TLR-9209,C503128,cash deposit,2298.66,CAD
CA00037690,2025-05-08,BR012,TLR-7726,C502873,cash deposit,1395.69,CAD
CA00043257,2025-05-14,BR039,TLR-1569,C503339,cash deposit,438.73,CAD
CA00042603,2025-05-15,BR036,TLR-1959,C502888,cash withdrawal,1437.35,CAD
CA00043475,2025-05-31,BR040,TLR-2490,C501323,cash deposit,1460.89,CAD
CA00036540,2025-05-24,BR005,TLR-6782,C501755,cash withdrawal,1308.99,CAD
CA00042861,2025-05-18,BR037,TLR-9269,C500827,cash withdrawal,947.33,CAD
CA00038215,2025-05-28,BR014,TLR-8656,C501198,cash withdrawal,1482.35,CAD
CA00036120,2025-05-15,BR003,TLR-5879,C503471,cash withdrawal,535.34,CAD
CA00041413,2025-05-14,BR030,TLR-5027,C503563,cash deposit,1300.35,CAD
CA00038681,2025-05-13,BR016,TLR-6926,C502930,cash deposit,1089.62,CAD
CA00039604,2025-05-13,BR020,TLR-7173,C501466,cash deposit,222.63,USD
CA00035640,2025-05-16,BR001,TLR-2769,C500336,cash withdrawal,1720.16,CAD
CA00043098,2025-05-18,BR038,TLR-2534,C500110,cash deposit,802.28,CAD
CA00039915,2025-05-01,BR023,TLR-9544,C502362,cash withdrawal,745.07,CAD
CA00035954,2025-05-24,BR002,TLR-4303,C501874,cash deposit,255.14,CAD
CA00040519,2025-05-23,BR026,TLR-9536,C503446,cash deposit,551.71,CAD
