TransactionID,Date,BranchCode,TellerID,CustomerID,TransactionType,Amount,Currency
CA00044881,2025-06-08,BR003,TLR-7445,C503288,cash deposit,149888,CAD
CA00052693,2025-06-19,BR040,TLR-2911,C503893,cash withdrawal,810.74,CAD
CA00045639,2025-06-26,BR007,TLR-5380,C501830,cash withdrawal,509.79,CAD
CA00046216,2025-06-12,BR009,TLR-3846,C502777,cash withdrawal,133592,CAD
CA00045457,2025-06-01,BR006,TLR-6945,C502425,cash deposit,581.2,CAD
CA00052751,2025-06-03,BR040,TLR-8619,C503564,cash withdrawal,1047.49,CAD
CA00049098,2025-06-25,BR025,TLR-5573,C502057,cash withdrawal,-344.65,CAD
CA00051965,2025-06-21,BR038,TLR-9962,C503522,cash withdrawal,1555.36,CAD
CA00047631,2025-06-01,BR017,TLR-2430,C502829,cash deposit,1665.04,CAD
CA00047720,2025-06-08,BR017,TLR-2710,C500063,cash withdrawal,809.73,CAD
CA00050915,2025-06-22,BR034,TLR-1703,C503004,cash deposit,1346.12,CAD
CA00044983,2025-06-16,BR003,TLR-1346,C503426,cash deposit,443.02,CAD
CA00045500,2025-06-01,BR006,TLR-8070,C503195,cash deposit,952.95,CAD
CA00044902,2025-06-04,BR003,TLR-7778,C501504,cash deposit,1218.35,CAD
CA00051644,2025-06-24,BR037,TLR-3697,C503116,cash deposit,303.07,CAD
CA00048118,2025-06-20,BR019,TLR-4800,C501548,cash withdrawal,847.13,CAD
CA00051996,2025-06-26,BR038,TLR-8997,C501903,cash withdrawal,1736.47,CAD
CA00051500,2025-06-23,BR036,TLR-3561,C502515,cash withdrawal,783.05,CAD
CA00052692,2025-06-29,BR040,TLR-1659,C500413,cash withdrawal,641.81,CAD
CA00048493,2025-06-11,BR021,TLR-7465,C502230,cash withdrawal,749.78,CAD
CA00052734,2025-06-09,BR040,TLR-9528,C502357,cash deposit,869.88,CAD
CA00049107,2025-06-21,BR025,TLR-3319,C503018,cash withdrawal,-1043.45,CAD
CA00048760,2025-06-22,BR023,TLR-1096,C503148,cash withdrawal,57735,CAD
CA00046327,2025-06-20,BR010,TLR-9765,C503252,cash withdrawal,2399.58,CAD
CA00046854,2025-06-03,BR013,TLR-8718,C500371,cash deposit,2126.23,CAD
CA00048660,2025-06-21,BR022,TLR-7241,C503011,cash withdrawal,1296.67,CAD
CA00044512,2025-06-15,BR001,TLR-3975,C502678,cash withdrawal,398.14,CAD
CA00048976,2025-06-20,BR024,TLR-9668,C500889,cash withdrawal,643.49,CAD
CA00047813,2025-06-14,BR017,TLR-4901,C501135,cash withdrawal,1928.61,CAD
CA00046714,2025-06-02,BR012,TLR-5254,C500630,cash withdrawal,231242,CAD
CA00051378,2025-06-01,BR036,TLR-5554,C503611,cash withdrawal,227.18,CAD
CA00048518,2025-06-16,BR021,TLR-1224,C502583,cash withdrawal,697.74,CAD
CA00049481,2025-06-16,BR026,TLR-4742,C500246,cash deposit,38332,CAD
CA00050401,2025-06-21,BR031,TLR-4582,C500878,cash deposit,2942.96,CAD
CA00045462,2025-06-11,BR006,TLR-2172,C502216,cash deposit,265.54,CAD
CA00050081,2025-06-13,BR030,TLR-3219,C501467,cash withdrawal,137415,CAD
CA00047650,2025-06-02,BR017,TLR-3507,C500739,cash deposit,2157.77,CAD
CA00051492,2025-06-15,BR036,TLR-6022,C503370,cash deposit,565.38,CAD
CA00045501,2025-06-23,BR006,TLR-7951,C502883,cash withdrawal,590.42,CAD
CA00048668,2025-06-13,BR022,TLR-8388,C500573,cash deposit,1698.02,CAD
CA00053130,2025-06-28,BR040,TLR-9473,C500179,cash deposit,227484,CAD
CA00048750,2025-06-06,BR023,TLR-9109,C500959,cash deposit,801.99,CAD
CA00045513,2025-06-10,BR006,TLR-5475,C502842,cash deposit,758.27,CAD
CA00052432,2025-06-02,BR040,TLR-7017,C503319,cash deposit,25435,CAD
CA00052647,2025-06-24,BR040,TLR-7924,C501070,cash withdrawal,2400.64,CAD
CA00048730,2025-06-30,BR023,TLR-9955,C503446,cash withdrawal,1306.31,CAD
CA00045807,2025-06-15,BR007,TLR-8162,C500873,cash deposit,1883.07,CAD
CA00048942,2025-06-04,BR024,TLR-2275,C502708,cash withdrawal,367.21,CAD
CA00051813,2025-06-07,BR037,TLR-6709,C502225,cash withdrawal,2427.8,CAD
CA00046915,2025-06-06,BR014,TLR-3354,C503230,cash withdrawal,391.96,CAD
CA00044803,2025-06-09,BR003,TLR-5900,C503069,cash withdrawal,1722.99,CAD
CA00050363,2025-06-07,BR031,TLR-5024,C502637,cash withdrawal,103755,CAD
CA00047365,2025-06-16,BR015,TLR-2637,C502744,cash deposit,559.35,CAD
CA00052341,2025-06-01,BR040,TLR-4347,C501303,cash withdrawal,1154.82,CAD
CA00046189,2025-06-03,BR009,TLR-4028,C503917,cash deposit,613.51,CAD
CA00052201,2025-06-13,BR039,TLR-2725,C502661,cash withdrawal,1108.58,CAD
CA00051534,2025-06-23,BR036,TLR-9713,C501376,cash withdrawal,1491.26,CAD
CA00048560,2025-06-19,BR021,TLR-7369,C500482,cash withdrawal,1040.29,CAD
CA00048388,2025-06-18,BR020,TLR-8858,C503233,cash deposit,251.9,USD
CA00050741,2025-06-15,BR033,TLR-8576,C502516,cash deposit,1163.57,CAD
CA00044908,2025-06-28,BR003,TLR-1196,C503671,cash withdrawal,179407,CAD
CA00053158,2025-06-25,BR040,TLR-2195,C500117,cash deposit,997.71,CAD
CA00046350,2025-06-20,BR010,TLR-3085,C500684,cash deposit,137810,CAD
CA00048875,2025-06-29,BR024,TLR-6152,C500242,cash withdrawal,385.37,CAD
CA00050035,2025-06-18,BR030,TLR-6816,C503614,cash deposit,974.1,CAD
CA00049761,2025-06-21,BR027,TLR-1687,C500281,cash deposit,9398.49,CAD
CA00050249,2025-06-04,BR030,TLR-9605,C502944,cash deposit,953.41,CAD
CA00050018,2025-06-04,BR030,TLR-8442,C502833,cash deposit,1174.4,CAD
CA00051321,2025-06-07,BR036,TLR-8456,C503305,cash deposit,47305,CAD
CA00053309,2025-06-22,BR006,TLR-7437,W966102,cash deposit,322.74,CAD
CA00046728,2025-06-03,BR012,TLR-2785,C500232,cash withdrawal,873.93,CAD
CA00049166,2025-06-26,BR025,TLR-1963,C502979,cash deposit,118635,CAD
CA00044668,2025-06-29,BR002,TLR-6533,C500704,cash withdrawal,-221.08,CAD
CA00051806,2025-06-27,BR037,TLR-3780,C501970,cash deposit,1075.09,CAD
CA00052744,2025-06-09,BR040,TLR-8567,C500684,cash withdrawal,1316.3,CAD
CA00046799,2025-06-14,BR012,TLR-7426,C502337,cash withdrawal,603.22,CAD
CA00047608,2025-06-14,BR016,TLR-1825,C501755,cash withdrawal,1079.95,CAD
CA00048078,2025-06-26,BR019,TLR-9587,C501021,cash deposit,455.89,CAD
CA00047233,2025-06-07,BR015,TLR-6842,C502225,cash deposit,1045.29,CAD
CA00049875,2025-06-10,BR028,TLR-4117,C502203,cash deposit,3240.09,CAD
CA00047053,2025-06-21,BR014,TLR-1655,C502906,cash deposit,592.61,CAD
CA00047478,2025-06-16,BR016,TLR-3898,C500445,cash deposit,1516.12,CAD
CA00052820,2025-06-15,BR040,TLR-6784,C503012,cash withdrawal,199472,CAD
CA00049535,2025-06-09,BR026,TLR-1062,C500491,cash deposit,1612.91,CAD
CA00053078,2025-06-30,BR040,TLR-9028,C500203,cash withdrawal,544.74,CAD
CA00051434,2025-06-08,BR036,TLR-7840,C503226,cash withdrawal,2054.74,CAD
CA00050343,2025-06-20,BR031,TLR-6864,C502196,cash deposit,678.29,CAD
CA00044968,2025-06-26,BR003,TLR-2061,C502073,cash withdrawal,1833.08,CAD
CA00044762,2025-06-12,BR002,TLR-9628,C503535,cash withdrawal,-595.41,CAD
CA00051485,2025-06-08,BR036,TLR-6243,C501467,cash withdrawal,868.95,CAD
CA00051478,2025-06-08,BR036,TLR-1637,C502493,cash deposit,563.3,CAD
CA00046928,2025-06-30,BR014,TLR-8940,C503996,cash withdrawal,813.35,CAD
CA00048813,2025-06-28,BR024,TLR-7258,C503661,cash withdrawal,2029.64,CAD
CA00045593,2025-06-14,BR006,TLR-1650,C502540,cash deposit,29349,CAD
CA00051287,2025-06-24,BR036,TLR-4579,C503571,cash deposit,117981,CAD
CA00049038,2025-06-16,BR024,TLR-7926,C502546,cash deposit,150474,CAD
CA00049996,2025-06-16,BR029,TLR-8456,C500932,cash deposit,3092.45,CAD
CA00044833,2025-06-20,BR003,TLR-9797,C501405,cash withdrawal,2451.21,CAD
CA00046449,2025-06-30,BR010,TLR-5672,C501171,cash withdrawal,1187.15,CAD
CA00052714,2025-06-07,BR040,TLR-3136,C501438,cash deposit,1103.7,CAD
CA00045525,2025-06-06,BR006,TLR-5580,C502713,cash deposit,301.89,CAD
CA00047208,2025-06-25,BR015,TLR-1924,C500810,cash deposit,161885,CAD
CA00045830,2025-06-10,BR007,TLR-2584,C502675,cash deposit,1066.34,CAD
CA00050570,2025-06-18,BR032,TLR-3737,C502588,cash deposit,1375.27,CAD
CA00047271,2025-06-18,BR015,TLR-7192,C501998,cash withdrawal,2230.47,CAD
CA00049280,2025-06-04,BR025,TLR-5476,C502217,cash deposit,1215.71,CAD
CA00044796,2025-06-13,BR003,TLR-1259,C502494,cash withdrawal,1344.06,CAD
CA00046819,2025-06-14,BR013,TLR-8032,C502059,cash deposit,1137.81,CAD
CA00051030,2025-06-21,BR035,TLR-6358,C503751,cash deposit,1086.01,CAD
CA00046049,2025-06-16,BR008,TLR-6397,C502514,cash deposit,1356.3,CAD
CA00045455,2025-06-05,BR006,TLR-6824,C501496,cash deposit,697.72,CAD
CA00047032,2025-06-15,BR014,TLR-7024,C500219,cash deposit,1280.73,CAD
CA00051506,2025-06-18,BR036,TLR-6942,C502725,cash deposit,322.17,CAD
CA00052961,2025-06-03,BR040,TLR-9100,C502423,cash withdrawal,30672,CAD
CA00052912,2025-06-25,BR040,TLR-2574,C503375,cash deposit,329.84,CAD
CA00044358,2025-06-06,BR001,TLR-9147,C502761,cash deposit,590.17,CAD
CA00044448,2025-06-16,BR001,TLR-7495,C503623,cash deposit,1899.8,CAD
CA00048850,2025-06-14,BR024,TLR-6751,C502378,cash deposit,1988.64,CAD
CA00047134,2025-06-29,BR015,TLR-3579,C501547,cash withdrawal,209.29,CAD
CA00051002,2025-06-22,BR034,TLR-9538,C500958,cash withdrawal,944.91,CAD
CA00050553,2025-06-06,BR032,TLR-3795,C503682,cash deposit,1214.86,CAD
CA00053092,2025-06-23,BR040,TLR-3905,C501868,cash withdrawal,607.46,CAD
CA00052194,2025-06-15,BR039,TLR-6964,C503147,cash withdrawal,1142.96,CAD
CA00050256,2025-06-03,BR030,TLR-6198,C500209,cash deposit,2460.94,CAD
CA00050526,2025-06-17,BR031,TLR-4770,C503363,cash deposit,1498.47,CAD
CA00047627,2025-06-26,BR017,TLR-9327,C500216,cash withdrawal,1906.18,CAD
CA00051962,2025-06-06,BR038,TLR-6846,C503669,cash deposit,646.45,CAD
CA00049670,2025-06-24,BR027,TLR-2041,C501390,cash deposit,454.1,CAD
CA00044785,2025-06-01,BR002,TLR-5498,C500463,cash deposit,244.86,CAD
CA00052248,2025-06-23,BR039,TLR-7952,C502161,cash withdrawal,636.55,CAD
CA00052520,2025-06-02,BR040,TLR-4769,C502925,cash withdrawal,834.53,CAD
CA00045467,2025-06-05,BR006,TLR-8596,C503841,cash deposit,645.17,CAD
CA00047928,2025-06-02,BR018,TLR-8706,C500121,cash deposit,965.72,CAD
CA00044863,2025-06-20,BR003,TLR-5311,C500966,cash withdrawal,740.72,CAD
CA00047603,2025-06-23,BR016,TLR-6495,C501237,cash deposit,799.2,CAD
CA00052437,2025-06-08,BR040,TLR-2724,C500283,cash deposit,410.36,CAD
CA00049927,2025-06-05,BR029,TLR-9933,C500239,cash withdrawal,965.31,CAD
CA00049268,2025-06-18,BR025,TLR-4883,C501156,cash deposit,667.26,CAD
CA00045042,2025-06-11,BR004,TLR-3598,C503663,cash withdrawal,1121.61,CAD
CA00048492,2025-06-07,BR021,TLR-8576,C501513,cash deposit,289.1,CAD
CA00049450,2025-06-19,BR026,TLR-4129,C503946,cash withdrawal,-755.31,CAD
CA00052772,2025-06-03,BR040,TLR-1678,C501342,cash withdrawal,133679,CAD
CA00047605,2025-06-25,BR016,TLR-7251,C500019,cash deposit,1624.97,CAD
CA00049421,2025-06-13,BR026,TLR-2332,C500759,cash withdrawal,-819.4,CAD
CA00044532,2025-06-13,BR001,TLR-2125,C502213,cash deposit,806.25,CAD
CA00048926,2025-06-10,BR024,TLR-8716,C501621,cash deposit,394.6,CAD
CA00045612,2025-06-22,BR006,TLR-5304,C501526,cash deposit,353438,CAD
CA00044334,2025-06-24,BR001,TLR-8421,C503292,cash withdrawal,127355,CAD
CA00048941,2025-06-11,BR024,TLR-4635,C502721,cash deposit,442.01,CAD
CA00044455,2025-06-27,BR001,TLR-4068,C500991,cash withdrawal,912.36,CAD
